Object Designation,Year Range,Potential Impacts,Impact Probability (cumulative),Vinfinity (km/s),H (mag),Estimated Diameter (km),Palermo Scale (cum.),Palermo Scale (max.),Torino Scale (max.),Year_Start,Year_End,Impact Energy (MT),Crater Diameter (m)
(2024 TB7),2086-2124,14,3.6e-06,7.81,29.2,0.005,-7.75,-7.87,0.0,2086,2124,,
(2024 TL2),2078-2121,11,1.5e-05,8.72,30.7,0.002,-7.75,-7.92,0.0,2078,2121,,
(2018 XX2),2106-2106,1,8.9e-08,11.91,26.0,0.021,-7.76,-7.76,0.0,2106,2106,,
(2022 UG),2071-2121,4,8.4e-08,9.23,26.3,0.019,-7.76,-7.79,0.0,2071,2121,,
(2009 QR),2042-2107,10,1.7e-07,4.98,27.3,0.012,-7.77,-7.96,0.0,2042,2107,,
(2015 XO129),2080-2095,3,2.4e-08,12.67,25.2,0.031,-7.77,-7.95,0.0,2080,2095,,
(2020 XU4),2112-2112,1,1e-06,6.68,27.8,0.009,-7.77,-7.77,0.0,2112,2112,,
(2022 MJ15),2040-2121,14,2.9e-05,7.15,31.1,0.002,-7.77,-7.92,0.0,2040,2121,,
(2024 YX3),2120-2120,1,3.2e-07,7.65,26.8,0.015,-7.77,-7.77,0.0,2120,2120,,
(2017 UF),2066-2082,4,1.9e-07,23.23,27.9,0.009,-7.78,-8.05,0.0,2066,2082,,
(2021 JB6),2103-2122,12,2.4e-06,8.58,28.8,0.006,-7.78,-8.31,0.0,2103,2122,,
(2017 UW5),2081-2115,4,1.3e-06,13.02,28.7,0.006,-7.78,-8.09,0.0,2081,2115,,
(2021 XD6),2111-2118,2,2.2e-06,4.81,28.4,0.007,-7.78,-7.84,0.0,2111,2118,,
(2023 TG8),2107-2119,8,8.7e-07,12.65,28.1,0.008,-7.78,-8.15,0.0,2107,2119,,
(2025 GX),2081-2112,4,2.6e-07,3.62,26.8,0.015,-7.78,-7.99,0.0,2081,2112,,
(2025 DS3),2077-2077,2,1.5e-08,16.67,25.2,0.031,-7.78,-7.79,0.0,2077,2077,,
(2023 QE2),2034-2034,1,5.9e-08,12.52,27.7,0.01,-7.79,-7.79,0.0,2034,2034,,
(2006 BB9),2113-2113,1,5.7e-08,13.0,25.7,0.025,-7.79,-7.79,0.0,2113,2113,,
(2008 OO8),2109-2109,1,4.5e-08,8.31,25.2,0.031,-7.79,-7.79,0.0,2109,2109,,
(2024 TO6),2058-2113,3,9.7e-08,17.43,27.2,0.012,-7.79,-7.83,0.0,2058,2113,,
(2020 KS),2095-2095,1,7.5e-08,7.06,25.8,0.024,-7.8,-7.8,0.0,2095,2095,,
(2021 JU6),2068-2068,1,2e-07,11.25,27.4,0.011,-7.8,-7.8,0.0,2068,2068,,
(2019 EH1),2045-2118,37,3.4e-06,14.47,30.1,0.003,-7.8,-8.39,0.0,2045,2118,,
(2020 TS1),2117-2121,4,5.1e-06,3.55,29.1,0.005,-7.8,-7.89,0.0,2117,2121,,
(2023 LM1),2114-2114,1,1.6e-06,8.98,28.4,0.007,-7.8,-7.8,0.0,2114,2114,,
(2024 XA6),2099-2099,1,9.2e-08,15.32,26.4,0.017,-7.8,-7.8,0.0,2099,2099,,
(2025 JF),2082-2121,6,6.7e-07,22.61,28.5,0.007,-7.8,-8.11,0.0,2082,2121,,
(2024 XV3),2090-2124,5,2.3e-06,7.46,28.7,0.006,-7.81,-7.93,0.0,2090,2124,,
(2009 WQ52),2037-2037,1,1.1e-07,14.76,28.2,0.008,-7.81,-7.81,0.0,2037,2037,,
(2022 SL48),2058-2098,4,1.5e-07,9.0,26.7,0.015,-7.81,-7.93,0.0,2058,2098,,
(2022 UE61),2111-2120,8,9.7e-07,8.08,27.9,0.009,-7.81,-8.25,0.0,2111,2120,,
(2011 FQ16),2105-2114,4,6.6e-07,7.95,27.7,0.01,-7.82,-8.02,0.0,2105,2114,,
(2019 QF),2069-2077,3,3.9e-07,11.12,27.9,0.009,-7.82,-8.09,0.0,2069,2077,,
(2021 XQ4),2045-2121,5,3.3e-08,17.91,26.8,0.015,-7.82,-8.0,0.0,2045,2121,,
(2015 JC1),2060-2102,5,1.5e-07,15.26,27.1,0.013,-7.83,-8.16,0.0,2060,2102,,
(2007 VC3),2099-2099,1,1.8e-08,11.95,24.8,0.037,-7.83,-7.83,0.0,2099,2099,,
(2014 EU),2083-2121,5,7.8e-07,5.61,27.7,0.01,-7.83,-8.14,0.0,2083,2121,,
(2020 GV2),2077-2116,5,1e-07,14.88,26.9,0.014,-7.83,-8.05,0.0,2077,2116,,
(2024 RA5),2115-2120,5,3.6e-06,3.38,28.9,0.006,-7.83,-7.97,0.0,2115,2120,,
(2025 DZ4),2058-2058,1,7.9e-08,17.83,27.3,0.012,-7.83,-7.83,0.0,2058,2058,,
(2016 TM),2076-2120,5,5.2e-07,4.28,27.5,0.011,-7.84,-8.07,0.0,2076,2120,,
(2022 QD8),2102-2102,1,3.7e-08,16.98,25.8,0.024,-7.84,-7.84,0.0,2102,2102,,
(2023 RF1),2118-2118,1,9.8e-08,6.54,25.8,0.023,-7.84,-7.84,0.0,2118,2118,,
(2025 LB),2068-2068,1,9.7e-08,11.03,26.8,0.015,-7.84,-7.84,0.0,2068,2068,,
(2025 NL),2109-2122,2,8.5e-07,2.79,27.6,0.01,-7.84,-7.95,0.0,2109,2122,,
(2012 WR10),2081-2119,14,1.7e-06,2.73,28.5,0.007,-7.85,-8.36,0.0,2081,2119,,
(2018 GD2),2097-2122,13,4.5e-06,7.58,29.5,0.004,-7.85,-8.52,0.0,2097,2122,,
(2018 BX5),2087-2122,31,2.4e-06,7.78,29.0,0.005,-7.85,-8.35,0.0,2087,2122,,
(2023 BH5),2123-2123,2,3.7e-07,7.87,27.1,0.013,-7.85,-8.11,0.0,2123,2123,,
(2024 TQ9),2056-2111,18,1.2e-05,6.91,30.7,0.002,-7.85,-8.37,0.0,2056,2111,,
(2016 FE15),2062-2111,4,7.6e-07,12.2,28.8,0.006,-7.86,-7.94,0.0,2062,2111,,
(2015 FN36),2122-2122,1,4.2e-09,21.87,23.9,0.055,-7.87,-7.87,0.0,2122,2122,,
(2024 SL1),2110-2123,16,2.6e-06,8.0,28.9,0.006,-7.87,-8.06,0.0,2110,2123,,
(2015 XH55),2076-2121,21,2.9e-06,7.13,29.2,0.005,-7.88,-8.3,0.0,2076,2121,,
(2020 FM1),2089-2121,9,3.5e-06,7.09,29.3,0.005,-7.88,-8.4,0.0,2089,2121,,
(2014 UY57),2076-2111,6,2.3e-07,8.97,27.2,0.012,-7.88,-8.34,0.0,2076,2111,,
(2025 CF4),2107-2110,2,5.4e-07,11.04,27.8,0.009,-7.88,-7.88,0.0,2107,2110,,
(2024 RQ5),2065-2115,2,4.7e-07,5.68,28.0,0.008,-7.88,-7.88,0.0,2065,2115,,
(2017 UQ6),2087-2104,6,3.2e-07,3.03,27.1,0.013,-7.89,-8.05,0.0,2087,2104,,
(2022 VQ),2122-2122,1,5.3e-08,8.79,25.5,0.027,-7.89,-7.89,0.0,2122,2122,,
(2019 VA),2090-2112,2,9.3e-07,8.24,28.3,0.007,-7.89,-8.02,0.0,2090,2112,,
(2010 UJ),2029-2093,7,5.9e-08,2.51,26.1,0.02,-7.89,-8.52,0.0,2029,2093,,
(2020 UY),2068-2118,12,1.9e-06,6.85,28.9,0.005,-7.89,-8.45,0.0,2068,2118,,
(2021 EZ3),2111-2111,1,3.7e-08,8.33,25.3,0.03,-7.9,-7.9,0.0,2111,2111,,
(2013 VJ13),2099-2099,1,3.6e-09,16.09,23.8,0.06,-7.9,-7.9,0.0,2099,2099,,
(2020 XK1),2070-2121,41,1.3e-05,5.83,30.6,0.003,-7.9,-8.51,0.0,2070,2121,,
(2020 JV38),2106-2115,2,5.1e-07,12.07,27.9,0.009,-7.9,-8.16,0.0,2106,2115,,
(2020 FU2),2092-2115,7,9.1e-07,12.88,28.6,0.006,-7.91,-8.13,0.0,2092,2115,,
(2021 BN),2095-2122,17,1.1e-06,7.66,28.3,0.007,-7.91,-8.57,0.0,2095,2122,,
(2017 YD2),2062-2062,1,6.9e-07,8.5,28.7,0.006,-7.91,-7.91,0.0,2062,2062,,
(2025 CM),2112-2121,3,2.9e-07,6.32,27.0,0.014,-7.91,-8.07,0.0,2112,2121,,
(2021 LC3),2065-2089,2,6.3e-08,10.28,26.6,0.016,-7.92,-7.92,0.0,2065,2089,,
(2017 KB3),2110-2110,1,2.3e-08,11.4,25.1,0.033,-7.92,-7.92,0.0,2110,2110,,
(2021 NB),2092-2092,1,1.7e-07,8.84,26.9,0.014,-7.92,-7.92,0.0,2092,2092,,
(2015 SK7),2059-2100,3,9.2e-07,12.17,28.8,0.006,-7.92,-8.24,0.0,2059,2100,,
(2025 EQ2),2078-2078,2,1.6e-07,5.84,26.9,0.014,-7.92,-7.92,0.0,2078,2078,,
(2017 JB2),2099-2122,11,3.4e-06,2.92,29.1,0.005,-7.93,-8.65,0.0,2099,2122,,
(2009 SU104),2109-2109,1,3.5e-08,13.07,25.6,0.026,-7.93,-7.93,0.0,2109,2109,,
(2015 FH37),2078-2113,2,1.1e-08,18.3,24.9,0.036,-7.93,-8.03,0.0,2078,2113,,
(2017 YM14),2071-2074,3,1.5e-07,18.38,27.7,0.01,-7.94,-7.98,0.0,2071,2074,,
(2020 YA2),2104-2121,5,1e-06,4.95,28.2,0.008,-7.94,-8.06,0.0,2104,2121,,
(2024 CM5),2061-2106,4,3.9e-07,10.38,28.4,0.007,-7.95,-8.09,0.0,2061,2106,,
(2021 XV4),2090-2103,6,5.1e-07,20.15,28.6,0.007,-7.95,-8.43,0.0,2090,2103,,
(2023 XQ16),2117-2123,6,1.7e-05,1.9,30.5,0.003,-7.95,-8.01,0.0,2117,2123,,
(2024 JN16),2086-2120,11,4.1e-06,7.18,29.6,0.004,-7.95,-8.14,0.0,2086,2120,,
(2020 SL6),2108-2108,1,3.7e-07,14.2,27.9,0.009,-7.96,-7.96,0.0,2108,2108,,
(2016 GS134),2070-2122,9,2.4e-07,11.01,27.8,0.01,-7.96,-8.03,0.0,2070,2122,,
(2019 YL3),2047-2047,1,1.1e-07,9.99,27.7,0.01,-7.97,-7.97,0.0,2047,2047,,
(2024 WT3),2079-2123,5,2e-07,10.5,27.5,0.011,-7.98,-8.02,0.0,2079,2123,,
(2004 WC1),2117-2117,1,1.1e-07,5.98,26.2,0.019,-7.99,-7.99,0.0,2117,2117,,
(2018 EL4),2120-2120,1,4e-08,5.6,25.3,0.03,-7.99,-7.99,0.0,2120,2120,,
(2022 GL),2070-2121,4,1.9e-06,7.02,29.5,0.004,-7.99,-8.0,0.0,2070,2121,,
(2021 RN5),2051-2051,1,7.9e-08,14.07,27.6,0.01,-7.99,-7.99,0.0,2051,2051,,
(2022 QC265),2046-2095,2,1.4e-06,12.97,29.6,0.004,-7.99,-8.29,0.0,2046,2095,,
(2007 EE26),2086-2117,3,6.9e-08,4.6,26.1,0.021,-8.0,-8.19,0.0,2086,2117,,
(1998 BT13),2087-2107,2,8e-08,7.83,26.4,0.018,-8.0,-8.1,0.0,2087,2107,,
(2019 TN5),2041-2041,1,1.4e-07,11.59,28.4,0.007,-8.01,-8.01,0.0,2041,2041,,
(2007 YM),2052-2119,7,2.8e-08,10.69,26.0,0.022,-8.01,-8.35,0.0,2052,2119,,
(2024 XC17),2070-2122,14,2.7e-07,4.14,27.3,0.012,-8.02,-8.48,0.0,2070,2122,,
(2016 FA14),2072-2094,5,1e-07,15.2,27.4,0.011,-8.02,-8.21,0.0,2072,2094,,
(2023 BR7),2093-2117,6,4e-07,8.64,27.7,0.01,-8.02,-8.54,0.0,2093,2117,,
(2021 GC13),2117-2122,6,2.3e-06,6.75,29.1,0.005,-8.02,-8.1,0.0,2117,2122,,
(2017 BE30),2100-2100,1,4.2e-08,16.69,26.3,0.019,-8.02,-8.02,0.0,2100,2100,,
(2010 UE),2032-2044,2,2.4e-07,16.11,29.6,0.004,-8.03,-8.13,0.0,2032,2044,,
(2023 HO36),2082-2123,23,9.3e-06,8.45,30.5,0.003,-8.03,-8.61,0.0,2082,2123,,
(2006 BO7),2060-2067,2,9.7e-07,9.83,29.3,0.005,-8.04,-8.23,0.0,2060,2067,,
(2023 FY3),2114-2116,3,2.6e-06,0.57,29.0,0.005,-8.04,-8.29,0.0,2114,2116,,
(2021 LY1),2040-2040,1,8.7e-08,11.47,28.1,0.008,-8.05,-8.05,0.0,2040,2040,,
(2022 UQ40),2066-2105,3,4e-07,8.48,28.3,0.007,-8.05,-8.12,0.0,2066,2105,,
(2020 RE4),2090-2122,21,2.8e-07,17.81,27.9,0.009,-8.05,-8.73,0.0,2090,2122,,
(2023 RV12),2119-2119,1,8.6e-08,7.24,26.2,0.02,-8.05,-8.05,0.0,2119,2119,,
(2018 WR),2114-2116,2,8e-08,6.81,26.1,0.02,-8.06,-8.07,0.0,2114,2116,,
(2014 KW76),2096-2122,7,3.6e-07,15.0,28.0,0.008,-8.06,-8.18,0.0,2096,2122,,
(2022 SU7),2111-2121,7,1e-06,4.91,28.3,0.007,-8.06,-8.21,0.0,2111,2121,,
(2021 RT4),2082-2120,8,5e-07,9.49,28.1,0.008,-8.06,-8.37,0.0,2082,2120,,
(2023 TH),2108-2108,2,1.5e-07,8.15,26.9,0.014,-8.07,-8.17,0.0,2108,2108,,
(2015 FU344),2057-2115,19,6.3e-06,9.92,31.0,0.002,-8.07,-8.26,0.0,2057,2115,,
(2022 DK2),2054-2054,1,4.4e-08,16.76,27.3,0.012,-8.07,-8.07,0.0,2054,2054,,
(2022 YO1),2028-2044,4,2.1e-07,14.41,30.0,0.003,-8.08,-8.32,0.0,2028,2044,,
(2022 QE265),2122-2122,1,1.4e-06,9.7,28.9,0.006,-8.08,-8.08,0.0,2122,2122,,
(2020 FP5),2110-2122,32,4e-06,7.15,29.7,0.004,-8.1,-8.69,0.0,2110,2122,,
(2020 BY11),2114-2120,6,3.7e-07,12.49,27.9,0.009,-8.1,-8.56,0.0,2114,2120,,
(2011 KE15),2061-2061,1,6.4e-08,7.95,26.9,0.014,-8.1,-8.1,0.0,2061,2061,,
(2022 GO3),2119-2119,1,1.3e-07,10.42,26.9,0.014,-8.1,-8.1,0.0,2119,2119,,
(2024 HZ),2109-2121,2,1.2e-06,7.15,28.6,0.006,-8.1,-8.17,0.0,2109,2121,,
(2025 TK),2100-2100,1,6.7e-08,11.45,26.5,0.017,-8.1,-8.1,0.0,2100,2100,,
(2021 BL2),2038-2119,22,1.2e-07,12.97,28.5,0.007,-8.11,-8.15,0.0,2038,2119,,
(2019 JP144),2113-2113,1,1.8e-07,15.13,27.5,0.011,-8.11,-8.11,0.0,2113,2113,,
(2020 BA13),2083-2105,8,8.7e-07,10.0,28.8,0.006,-8.11,-8.66,0.0,2083,2105,,
(2016 DY30),2036-2118,6,6.7e-07,15.59,30.5,0.003,-8.12,-8.14,0.0,2036,2118,,
(2019 QB1),2053-2053,1,6.9e-08,11.51,27.5,0.011,-8.12,-8.12,0.0,2053,2053,,
(2024 EN2),2043-2081,2,2.6e-08,17.75,26.5,0.017,-8.12,-8.26,0.0,2043,2081,,
(2022 CL7),2039-2120,13,1.6e-06,9.4,29.6,0.004,-8.13,-8.52,0.0,2039,2120,,
(2017 OO1),2118-2118,1,9.2e-09,10.04,24.5,0.042,-8.13,-8.13,0.0,2118,2118,,
(2023 UK3),2050-2052,2,5.1e-07,8.45,29.2,0.005,-8.13,-8.4,0.0,2050,2052,,
(2024 VK3),2120-2120,2,2.2e-07,11.09,27.4,0.011,-8.13,-8.31,0.0,2120,2120,,
(2025 BP4),2063-2063,1,3.1e-07,21.86,29.2,0.005,-8.13,-8.13,0.0,2063,2063,,
(2022 PW40),2054-2123,7,1.9e-05,6.4,31.9,0.001,-8.14,-8.37,0.0,2054,2123,,
(2014 UA176),2078-2078,1,7.2e-08,9.22,26.9,0.014,-8.15,-8.15,0.0,2078,2078,,
(2020 PT2),2085-2085,1,4.1e-08,8.25,26.2,0.02,-8.15,-8.15,0.0,2085,2085,,
(2016 CB248),2121-2121,1,8.8e-08,11.41,26.7,0.016,-8.16,-8.16,0.0,2121,2121,,
(2018 BH1),2095-2116,2,9.6e-09,13.25,25.0,0.033,-8.16,-8.22,0.0,2095,2116,,
(2016 AF2),2076-2121,6,2.3e-07,5.89,27.8,0.009,-8.16,-8.21,0.0,2076,2121,,
(2021 AD4),2084-2084,1,2.6e-08,5.18,25.6,0.025,-8.17,-8.17,0.0,2084,2084,,
(2012 YR1),2078-2116,2,6.2e-08,7.78,26.5,0.017,-8.17,-8.29,0.0,2078,2116,,
(2021 TN14),2099-2121,8,6.7e-07,10.72,28.5,0.007,-8.17,-8.39,0.0,2099,2121,,
(2025 QK17),2054-2067,7,1.3e-06,11.92,30.2,0.003,-8.17,-8.33,0.0,2054,2067,,
(2023 HS),2111-2119,2,2.6e-07,9.39,27.6,0.01,-8.17,-8.19,0.0,2111,2119,,
(2021 BO2),2050-2050,1,1.6e-07,10.3,28.4,0.007,-8.18,-8.18,0.0,2050,2050,,
(2020 HN3),2099-2118,10,3.1e-06,4.18,29.6,0.004,-8.18,-8.44,0.0,2099,2118,,
(2023 CG2),2065-2066,2,2.7e-08,21.43,27.0,0.013,-8.18,-8.32,0.0,2065,2066,,
(2020 TT1),2117-2117,1,1e-07,14.18,27.1,0.013,-8.19,-8.19,0.0,2117,2117,,
(2021 NU3),2093-2117,3,4.9e-07,11.76,28.6,0.006,-8.19,-8.37,0.0,2093,2117,,
(2020 UX),2087-2109,4,9.1e-06,8.37,31.1,0.002,-8.19,-8.28,0.0,2087,2109,,
(2023 HW3),2089-2119,4,5e-07,14.96,28.9,0.006,-8.19,-8.34,0.0,2089,2119,,
(2021 LC1),2121-2121,1,4.9e-08,15.5,26.5,0.017,-8.2,-8.2,0.0,2121,2121,,
(2022 BU6),2108-2108,1,3e-08,10.9,25.9,0.022,-8.2,-8.2,0.0,2108,2108,,
(2025 DK1),2073-2073,2,1.5e-06,15.27,30.2,0.003,-8.2,-8.21,0.0,2073,2073,,
(2015 TB1),2100-2100,1,5.3e-08,8.33,26.4,0.018,-8.21,-8.21,0.0,2100,2100,,
(2023 OY),2100-2100,1,1.3e-07,11.04,27.3,0.012,-8.21,-8.21,0.0,2100,2100,,
(2025 SB9),2068-2109,4,1.9e-06,10.81,30.0,0.003,-8.21,-8.38,0.0,2068,2109,,
(2017 VF14),2080-2121,4,3.6e-07,11.86,28.5,0.007,-8.22,-8.36,0.0,2080,2121,,
(2019 BV2),2111-2120,3,1.5e-08,15.22,25.5,0.027,-8.22,-8.35,0.0,2111,2120,,
(2022 SS2),2095-2095,1,1.3e-07,7.3,27.1,0.013,-8.22,-8.22,0.0,2095,2095,,
(2014 QJ365),2106-2121,6,1.7e-07,11.96,27.5,0.011,-8.22,-8.47,0.0,2106,2121,,
(2007 VJ3),2103-2112,2,6.5e-09,16.19,24.9,0.035,-8.23,-8.4,0.0,2103,2112,,
(2012 DY13),2074-2116,4,1.2e-07,16.97,27.9,0.009,-8.23,-8.3,0.0,2074,2116,,
(2016 VF18),2037-2077,2,1.3e-06,10.1,29.8,0.004,-8.24,-8.29,0.0,2037,2077,,
(2023 XC),2098-2098,1,5.8e-07,5.9,28.5,0.007,-8.24,-8.24,0.0,2098,2098,,
(2016 AN66),2076-2106,3,1.5e-07,5.46,27.4,0.011,-8.25,-8.5,0.0,2076,2106,,
(2023 LP1),2064-2075,7,7.5e-07,13.27,29.6,0.004,-8.25,-8.65,0.0,2064,2075,,
(2016 WQ1),2084-2116,6,2.7e-07,7.67,27.9,0.009,-8.25,-8.6,0.0,2084,2116,,
(2022 GB),2121-2122,2,1.8e-06,8.09,29.4,0.004,-8.25,-8.34,0.0,2121,2122,,
(2016 JX11),2092-2092,1,4.4e-09,17.62,24.9,0.036,-8.25,-8.25,0.0,2092,2092,,
(2022 UA21),2102-2113,3,1.5e-06,4.26,29.1,0.005,-8.25,-8.54,0.0,2102,2113,,
(2024 EH),2085-2124,4,1.3e-07,9.49,27.2,0.012,-8.25,-8.43,0.0,2085,2124,,
(2024 BQ1),2101-2124,14,3.8e-06,6.37,30.0,0.003,-8.25,-8.82,0.0,2101,2124,,
(2020 NY),2090-2114,2,3.1e-08,11.76,26.2,0.02,-8.26,-8.55,0.0,2090,2114,,
(2020 XP3),2119-2119,1,3.9e-09,23.42,24.8,0.038,-8.26,-8.26,0.0,2119,2119,,
(2023 UE),2112-2122,6,1.2e-06,5.06,28.9,0.006,-8.26,-8.44,0.0,2112,2122,,
(2020 DW),2108-2121,3,5.8e-06,3.78,30.3,0.003,-8.27,-8.34,0.0,2108,2121,,
(2015 PS228),2080-2115,4,8.5e-07,2.55,28.9,0.005,-8.27,-8.32,0.0,2080,2115,,
(2011 WQ4),2081-2119,3,1.7e-07,7.15,27.4,0.011,-8.27,-8.43,0.0,2081,2119,,
(2019 SM8),2061-2066,2,3.4e-07,14.05,29.2,0.005,-8.28,-8.28,0.0,2061,2066,,
(2024 HA),2112-2112,2,1e-05,18.14,31.8,0.002,-8.29,-8.47,0.0,2112,2112,,
(2024 JT),2106-2124,4,5e-07,6.33,28.3,0.007,-8.29,-8.42,0.0,2106,2124,,
(2023 CY),2118-2118,1,4.2e-08,10.94,26.3,0.019,-8.3,-8.3,0.0,2118,2118,,
(2021 TT),2060-2060,1,6.4e-08,15.76,27.9,0.009,-8.3,-8.3,0.0,2060,2060,,
(2023 EE2),2102-2121,6,4.7e-07,10.61,28.5,0.007,-8.3,-8.53,0.0,2102,2121,,
(2023 VC2),2102-2102,1,1.1e-07,5.27,26.9,0.014,-8.3,-8.3,0.0,2102,2102,,
(2021 WN2),2100-2119,5,7e-08,8.07,26.6,0.016,-8.31,-8.57,0.0,2100,2119,,
(2020 UB),2080-2080,1,1.4e-07,11.21,27.9,0.009,-8.31,-8.31,0.0,2080,2080,,
(2019 DM1),2088-2088,1,1.2e-07,17.5,28.0,0.008,-8.31,-8.31,0.0,2088,2088,,
(2021 BO1),2077-2077,1,5.4e-07,10.19,29.1,0.005,-8.32,-8.32,0.0,2077,2077,,
(2021 GL16),2111-2111,1,5.2e-08,5.69,26.3,0.019,-8.32,-8.32,0.0,2111,2111,,
(2018 LE1),2102-2102,1,2.2e-07,5.9,27.7,0.01,-8.32,-8.32,0.0,2102,2102,,
(2024 WW2),2113-2116,2,4.2e-07,9.61,28.4,0.007,-8.33,-8.6,0.0,2113,2116,,
(2023 LV),2123-2123,1,1.4e-08,8.61,25.2,0.031,-8.33,-8.33,0.0,2123,2123,,
(2016 EU84),2115-2118,3,1.2e-06,2.39,28.9,0.005,-8.34,-8.44,0.0,2115,2118,,
(2020 XC),2085-2121,3,8e-07,3.52,29.0,0.005,-8.34,-8.36,0.0,2085,2121,,
(2022 KO3),2098-2116,2,2.6e-07,10.14,28.0,0.008,-8.34,-8.46,0.0,2098,2116,,
(2023 BQ2),2057-2057,1,1.3e-08,14.37,26.6,0.017,-8.35,-8.35,0.0,2057,2057,,
(2013 NR13),2114-2114,1,1.9e-08,11.31,25.8,0.024,-8.35,-8.35,0.0,2114,2114,,
(2024 AL3),2099-2099,1,1.5e-09,12.45,23.7,0.062,-8.35,-8.35,0.0,2099,2099,,
(1995 UB),2112-2121,6,1e-07,12.21,27.3,0.012,-8.35,-8.59,0.0,2112,2121,,
(2017 XY2),2108-2108,1,9.8e-08,7.88,27.1,0.013,-8.36,-8.36,0.0,2108,2108,,
(2020 KJ4),2066-2121,5,2.7e-06,4.23,29.9,0.004,-8.36,-8.42,0.0,2066,2121,,
(2020 WA1),2044-2078,4,1.1e-07,19.85,28.6,0.006,-8.36,-8.68,0.0,2044,2078,,
(2020 QR5),2111-2119,3,1.5e-07,6.81,27.3,0.012,-8.36,-8.4,0.0,2111,2119,,
(2021 RS14),2111-2117,2,2.7e-07,10.61,28.1,0.008,-8.36,-8.53,0.0,2111,2117,,
(2024 TK13),2066-2113,11,4.7e-07,8.08,28.6,0.006,-8.36,-8.73,0.0,2066,2113,,
(2018 BP3),2099-2115,2,6.8e-07,6.92,28.8,0.006,-8.37,-8.43,0.0,2099,2115,,
(2019 WH4),2113-2113,1,1.3e-07,8.78,27.4,0.011,-8.37,-8.37,0.0,2113,2113,,
(2024 PF2),2118-2118,1,2.6e-08,7.27,25.8,0.024,-8.37,-8.37,0.0,2118,2118,,
(2020 CA),2116-2116,2,1.1e-06,13.17,29.6,0.004,-8.37,-8.38,0.0,2116,2116,,
(2024 EK3),2118-2123,2,8.6e-07,6.85,28.9,0.005,-8.38,-8.38,0.0,2118,2123,,
(2008 TE),2058-2117,9,1.4e-07,11.71,27.8,0.009,-8.39,-8.63,0.0,2058,2117,,
(2012 DJ14),2119-2119,1,1.5e-08,14.32,25.7,0.024,-8.39,-8.39,0.0,2119,2119,,
(2014 WR362),2078-2078,1,5.5e-08,12.07,27.3,0.012,-8.39,-8.39,0.0,2078,2078,,
(2022 UA5),2072-2109,4,1.6e-06,3.97,29.9,0.004,-8.39,-8.51,0.0,2072,2109,,
(2021 XC4),2101-2119,4,2.1e-08,15.79,26.3,0.019,-8.39,-8.61,0.0,2101,2119,,
(2020 DP14),2056-2119,22,2.4e-06,6.44,30.3,0.003,-8.4,-9.04,0.0,2056,2119,,
(2014 DK10),2060-2118,3,9.4e-08,11.8,27.8,0.009,-8.4,-8.71,0.0,2060,2118,,
(2020 HM6),2071-2099,4,2.2e-08,15.19,26.6,0.016,-8.4,-8.68,0.0,2071,2099,,
(2020 KD1),2042-2061,2,4.4e-08,8.72,27.9,0.009,-8.4,-8.41,0.0,2042,2061,,
(2025 SB21),2059-2120,16,8.1e-06,7.88,31.3,0.002,-8.4,-8.86,0.0,2059,2120,,
(2019 UB2),2105-2105,1,1.8e-08,9.85,25.8,0.024,-8.41,-8.41,0.0,2105,2105,,
(2017 QJ2),2033-2045,2,1.6e-09,19.22,26.2,0.019,-8.41,-8.42,0.0,2033,2045,,
(1993 HP1),2065-2112,2,5.6e-08,9.73,27.0,0.014,-8.41,-8.61,0.0,2065,2112,,
(2010 XX),2100-2100,1,8.1e-08,8.64,27.2,0.012,-8.42,-8.42,0.0,2100,2100,,
(2024 LA),2078-2078,1,4.6e-09,19.02,25.6,0.026,-8.42,-8.42,0.0,2078,2078,,
(2022 ED),2115-2119,5,9.2e-07,4.86,29.0,0.005,-8.43,-8.86,0.0,2115,2119,,
(2025 DC50),2079-2123,6,1.6e-07,12.38,28.3,0.007,-8.43,-8.54,0.0,2079,2123,,
(2017 YD1),2102-2121,4,2.5e-06,2.67,30.0,0.003,-8.44,-8.55,0.0,2102,2121,,
(2019 EF),2114-2119,3,2.8e-08,17.72,26.6,0.016,-8.44,-8.51,0.0,2114,2119,,
(2021 JV),2061-2061,1,4.2e-08,9.96,27.4,0.011,-8.44,-8.44,0.0,2061,2061,,
(2023 HK3),2110-2122,2,2.6e-07,6.04,27.9,0.009,-8.44,-8.54,0.0,2110,2122,,
(2022 CB3),2083-2120,15,1.5e-06,16.8,30.5,0.003,-8.45,-9.04,0.0,2083,2120,,
(2019 ED),2104-2119,3,8.2e-08,2.44,26.9,0.014,-8.45,-8.51,0.0,2104,2119,,
(2021 RO16),2095-2119,6,4.4e-08,7.58,26.6,0.016,-8.46,-8.7,0.0,2095,2119,,
(2024 HL2),2079-2104,3,8.3e-09,13.91,25.7,0.024,-8.46,-8.76,0.0,2079,2104,,
(2018 WS),2106-2106,1,4.5e-08,3.3,26.4,0.018,-8.47,-8.47,0.0,2106,2106,,
(2019 YV4),2044-2061,3,1.5e-08,20.14,27.3,0.012,-8.48,-8.52,0.0,2044,2061,,
(2020 VB3),2082-2120,14,1.4e-06,5.37,29.6,0.004,-8.48,-8.87,0.0,2082,2120,,
