Object Designation,Year Range,Potential Impacts,Impact Probability (cumulative),Vinfinity (km/s),H (mag),Estimated Diameter (km),Palermo Scale (cum.),Palermo Scale (max.),Torino Scale (max.),Year_Start,Year_End,Impact Energy (MT),Crater Diameter (m)
(2018 MC7),2120-2120,2,1.2e-06,5.15,26.2,0.019,-6.96,-7.17,0.0,2120,2120,,
(2006 UC64),2069-2079,5,6e-08,20.13,25.0,0.034,-6.96,-7.18,0.0,2069,2079,,
(2022 EF1),2040-2122,120,9.9e-06,10.64,28.9,0.005,-6.97,-7.83,0.0,2040,2122,,
(2011 UD21),2105-2116,3,1.6e-05,1.31,28.5,0.007,-6.97,-7.29,0.0,2105,2116,,
(2021 GN10),2075-2122,12,7.6e-06,12.05,28.4,0.007,-6.97,-7.05,0.0,2075,2122,,
(2018 FQ3),2070-2114,14,9.6e-06,10.84,28.6,0.007,-6.97,-7.49,0.0,2070,2114,,
(2022 RL),2071-2114,8,8.7e-06,7.93,28.6,0.006,-6.97,-7.02,0.0,2071,2114,,
(2024 YR6),2043-2124,60,3.3e-05,6.49,29.7,0.004,-6.97,-7.4,0.0,2043,2124,,
(2007 BB),2076-2112,2,4e-06,4.44,27.8,0.009,-6.98,-6.98,0.0,2076,2112,,
(2024 LZ4),2052-2079,2,1.2e-07,21.39,26.1,0.02,-6.98,-7.09,0.0,2052,2079,,
(2025 KJ),2082-2097,7,1.7e-06,14.93,27.5,0.011,-6.98,-7.23,0.0,2082,2097,,
(2018 GG4),2058-2070,2,2.1e-07,16.65,26.2,0.02,-6.99,-7.17,0.0,2058,2070,,
(2008 UC202),2116-2119,5,1.1e-05,4.16,28.3,0.008,-6.99,-7.1,0.0,2116,2119,,
(2014 HD198),2033-2112,17,9.4e-06,17.65,29.7,0.004,-6.99,-7.4,0.0,2033,2112,,
(2016 KO),2104-2122,9,1.4e-06,7.19,26.5,0.017,-6.99,-7.33,0.0,2104,2122,,
(2021 WM4),2076-2090,9,1.7e-06,16.09,27.7,0.01,-6.99,-7.55,0.0,2076,2090,,
(2021 XP2),2071-2121,6,3.4e-07,7.49,25.5,0.027,-6.99,-7.45,0.0,2071,2121,,
(2017 FW158),2045-2120,24,5.7e-06,15.22,28.4,0.007,-7.0,-7.37,0.0,2045,2120,,
(2011 EL40),2073-2120,6,5.8e-07,17.68,26.5,0.017,-7.0,-7.18,0.0,2073,2120,,
(2024 UB5),2088-2124,19,6.1e-06,11.15,28.3,0.008,-7.0,-7.46,0.0,2088,2124,,
(2015 YM1),2095-2122,15,8.7e-06,6.81,28.4,0.007,-7.01,-7.18,0.0,2095,2122,,
(2018 WJ),2045-2116,7,5.3e-07,19.01,27.6,0.01,-7.01,-7.06,0.0,2045,2116,,
(2012 TU231),2111-2117,4,7.6e-07,9.97,26.2,0.02,-7.01,-7.24,0.0,2111,2117,,
(2021 CF1),2077-2077,1,2.6e-07,14.17,26.0,0.021,-7.01,-7.01,0.0,2077,2077,,
(2025 CM1),2110-2124,8,4.8e-06,8.29,27.7,0.01,-7.01,-7.17,0.0,2110,2124,,
(2021 GR),2077-2121,20,6.6e-06,7.05,28.2,0.008,-7.02,-7.51,0.0,2077,2121,,
(2005 UA1),2036-2048,2,8.4e-08,14.68,26.4,0.018,-7.02,-7.03,0.0,2036,2048,,
(2021 SF1),2103-2121,9,3e-06,2.81,27.2,0.012,-7.02,-7.26,0.0,2103,2121,,
(2024 AD),2088-2124,14,1.1e-05,9.61,28.8,0.006,-7.02,-7.22,0.0,2088,2124,,
(2024 WA),2066-2080,9,8.9e-07,8.89,26.8,0.014,-7.02,-7.64,0.0,2066,2080,,
(2024 YM12),2068-2085,2,1.7e-07,16.11,25.8,0.024,-7.02,-7.26,0.0,2068,2085,,
(2018 AL12),2113-2121,4,9.5e-08,19.1,24.9,0.036,-7.03,-7.09,0.0,2113,2121,,
